767,"Cadena Comercial OXXO, S.A. de C.V.",Tucán CUN,Av. Labna Sm. 35 Mza. 1 Lte. 3-01 , Lte.3-01,Quintana Roo
768,"Cadena Comercial OXXO, S.A. de C.V.",Molcas CUN,Calle 1Ra Sur Mza 2 Lote 01 Locales 12 y 13, Lote 01,Quintana Roo
769,"Cadena Comercial OXXO, S.A. de C.V.",Rollo CUN,Av. Niuos Heroes Sm. 201 Mza. 19 Lt. 3, Lt. 3 ,Quintana Roo
770,"Cadena Comercial OXXO, S.A. de C.V.",Ibiza CUN,Av.Flor Del Ciruelo Region 37 Smza 1 Mza 6, Lote 4,Quintana Roo
771,"Cadena Comercial OXXO, S.A. de C.V.",Palapas CUN,Av. Rueda Medina Sm 01 Mza 05 Lote 13, Num.122,Quintana Roo
772,"Cadena Comercial OXXO, S.A. de C.V.",Castano CUN,Av. Machuxac Mza 441 Esq Constituyentes, Lote 1,Quintana Roo
773,"Cadena Comercial OXXO, S.A. de C.V.",Arboledas CUN,Av. Chicozapote Mza. 59 Lt. 36 ,101,Quintana Roo
774,"Cadena Comercial OXXO, S.A. de C.V.",Monte Albán CUU,Av. Monte Alban y Vialidad Sacramento, S/N,Chihuahua
775,"Cadena Comercial OXXO, S.A. de C.V.",San Sebastián CUU,Av. Colegio San Ildefonso y Prolongacion Abolicion, S/N,Chihuahua
776,"Cadena Comercial OXXO, S.A. de C.V.",Cordilleras I CUU,Cordillera Blanca, S/N,Chihuahua
777,"Cadena Comercial OXXO, S.A. de C.V.",Los Llanos CUF,Periferico R. Almada, S/N,Chihuahua
778,"Cadena Comercial OXXO, S.A. de C.V.",El Chavo CUU,Carretera A Guerrero (Carretera #16), S/N,Chihuahua
779,"Cadena Comercial OXXO, S.A. de C.V.",Agustín Melgar CUU,Av. Agustin Melgar y C. Ojinaga, S/N,Chihuahua
780,"Cadena Comercial OXXO, S.A. de C.V.",Obelisco CUU,Carret. Chihuahua-Cd. Juarez Km 29+500, S/N,Chihuahua
781,"Cadena Comercial OXXO, S.A. de C.V.",Urique CUU,C. 40 y C. Urique, S/N,Chihuahua
782,"Cadena Comercial OXXO, S.A. de C.V.",Los Llorones CUF,Av. Silvestre Terrazas y Camino A Los Llorones, S/N,Chihuahua
783,"Cadena Comercial OXXO, S.A. de C.V.",La Junta CUU,Km 13 Carret. Cuauhtemoc - La Junta, S/N,Chihuahua
784,"Cadena Comercial OXXO, S.A. de C.V.",Fuentes Mares CUU,Av. Fuentes Mares y Av. Francisco Villa, S/N,Chihuahua
